Items,Type,Status,Project Type,Project #,Governance Framework,Project WO #s,Project Manager,PM Region,Project Status,Budget Type,Program,CY Actuals,CY Rem Fcst,Remaining Contingency,CY Tot EAC,CY Tot Fcst 3+9 Baseline,CY Tot EAC vs 3+9 Base Value,CY Tot EAC vs 3+9 Base Indicator,CY Budget Year Amount,CY Budget Adjustment,CY Bud incl Adj,CY Variance with Adjustments Value,CY Variance with Adjustments Indicator,Variance Explanation AFE vs CY Budget,Full or Phase 1 AFE,Phase 2 AFE,Supplemental AFE Amount,Total Approved AFE,AFE Stage,Total Requested AFE,Inception to Date Actuals,Project Rem Fcst,Project EAC,Supplemental AFE Required? Value,Supplemental AFE Required? Indicator,Cash Flow Start (Fcst),Full or Phase 1 AFE Approved Date,Full or Phase 1 AFE Approved Date P/D,Baseline Operational Date,Operational Date,AFE Past Due Days Value,AFE Past Due Days Indicator,CY 01 Jan Act,CY 02 Feb Act,CY 02 Feb Fcst,CY 02 Feb Fcst (asOf Cut-off),CY 02 Feb Var Value,CY 02 Feb Var Indicator,IT - Accruals,Monthly Variance Explanation,CY 03 Mar Fcst,CY 04 Apr Fcst,CY 05 May Fcst,CY 06 Jun Fcst,CY 07 Jul Fcst,CY 08 Aug Fcst,CY 09 Sep Fcst,CY 10 Oct Fcst,CY 11 Nov Fcst,CY 12 Dec Fcst,Remaining Contingency2,Project Status Notes,Project Status Notes Updated On,Financial Forecast Notes,PCA,PM Designate,PMO-Region,PMO-Division,Financial Reporting Category 2022,Financial Reporting Category 2022 Override,PMO-Asset Team,PMO-Location Business Unit,Parent Project Number,CY Q1 EAC,CY Q2 EAC,CY Q3 EAC,CY Q4 EAC,CY-1 Tot Act,CY+1 Tot Fcst,Program Manager,Project Sponsor,WS Drawdown Class,JV SubProgram,IT Count,OPPM Project Item ID,RCAP Financial Model,Created By,Parent / Child Value,Parent / Child Indicator,Creation Date,Maintenance Reporting Categories
South Texas Arc Flash Updates,Item,Open,MEXP,BTXHF00E2207,Maintenance Framework,1972391,"Brazzil, Cade",ECS Pipes and Terminals,6. Operational,Drawdown,Arc Flash,10287,,,10287.29,10287,0,Green,,,,10287,,,120000,,,120000,Full,120000,160976,,160976,No,Green,6/1/2022,4/16/2022,4/16/2022,4/18/2022,12/31/2022,,,0,10287.29,,,10287,Red,0,WorkAhead of Schedule,,,,,,,,,,,,"1.3.2023 - Per Cade, arc flash studies completed. Project is completed. New AFE for Arc Flash Mitigation will be created. 

7/6/22 Formulating a new mitigation plan to reduce original project cost and form installation plan with operations- Cade

4.25.22.DLC: Initial Forecast",1/3/2023,,"Nguyen, Tong",,South,Pipelines and Terminals,Station/Terminal,,Corpus Christi,BTXHF - Buckeye Texas Hub,,10287,,,,150688,,"Ashley, Robert","Ashley, Robert",N/A,,1,43411,,"Clark, David",JDE Child,Burnt Orange,4/16/2022,Other Programs
2022 - AB803RC - ILI,Item,Open,MEXP,AB803WLE2201,Maintenance Framework,2002064,"Keppel, Nicholas",East,7. Closed,Defined,Assessments,11700,,,11700,11700,0,Green,,,,11700,,,187000,,,187000,Full,187000,152660,,152660,No,Green,8/1/2022,7/5/2022,7/5/2022,9/30/2022,9/22/2022,,,11700,,,,,,0,,,,,,,,,,,,,"3/14/2023 - Closed WO/PO and set OPPM status to 'Closed'.  MCS


Can close.",3/14/2023,2/7/22 - No change at this time.,"Sautter, Maureen",,East,Pipelines and Terminals,Pipeline Integrity,,Auburn Pipeline,AB803WL - AUBURN TO WATERLOO,,11700,,,,140960,,"Bartal, Nick","Bartal, Nick",,,1,40616,,"Administrator, System",Independent,Aqua,7/23/2021,Int - Assessments
2022 - DA999A2 - ILI,Item,Open,MEXP,DA999A2E2201,Exempt,1945663,"Bost, Jason",West,6. Operational,Defined,Assessments,1690,,,1689.8,1690,0,Green,,,,1690,,,79830,,,79830,Full,79830,444021,,444021,No,Green,4/1/2022,1/4/2022,1/4/2022,12/31/2022,10/31/2022,,,0,1689.8,,,1690,Red,0,,,,,,,,,,,,,"3/1/23 - Variance is from IRIS NDT invoice from work completed on 5/31/22. 1/4/23 - Variance is from Youngs Environmental invoice when removing the temporary traps. 12/5/22 - Traps removed after data analysis group approved successful run. No digs issued from assessment. Accrual is for TDW invoice that was approved in Open Invoice. 11/1/22 - Accrual is for TDW invoice. Integrity confirmed no digs required as a result of this assessment. 10/1/22 - Accrual is for TDW invoice ($10,241) and Holly invoice ($44,697). 9/1/22 - Re-run of MFL tool completed, accrual is for Holly and TDW invoices. Holly invoice includes restoration of cutout dig sites along with tool-run assistance. 8/1/22 - Re-run of MFL tool scheduled 8/2. Accrual is for Holly invoice for roadway restoration at cutout site. 7/5/22 - Accrual is for Holly invoices. Re-run of tool scheduled for 8/2/22. 6/1/22 - Pig became stuck on 5/5/22. Efforts to locate the tool, excavate/cutout span of pipe continued through the week of 5/31. Section of pipe with ILI tool stuck is now going through failure investigation. Tie-ins for replacement pipe completed on 5/31, and refill completed on 6/1/22. 5/3/22 - ILI scheduled for 5/5. 4/2/22 - Airport lines schedule collapsed to run all lines back to back in May 2022. 2/2/22 - No Change 1/3/22 - No Change",3/2/2023,2/7/22 - No change1/3/22 - No Change,"Griest, Barbara",,West,Pipelines and Terminals,Pipeline Integrity,,Wayne Pipeline,5DA999A2 - SHELL - DETROIT AIRPORT MANIFO,,1690,,,,442332,,"Bartal, Nick","Bartal, Nick",,,1,40657,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
2022 - DS999A1 - ILI,Item,Open,MEXP,DS999A1E2201,Exempt,1945667,"Roman, James",West,6. Operational,Defined,Assessments,1994,,,1994.15,1994,0,Green,,,,1994,,,76405,,,76405,Full,76405,57182,,57182,No,Green,7/1/2022,1/4/2022,1/4/2022,12/31/2022,10/5/2022,,,1994.15,,,,,,0,,,,,,,,,,,,,"2/1/23 Variance $2k vac truck trailing cost

1/4/23 Variance -$25k  $9k accrual for tool vendor had already been paid.  Forecasted $16k for contractor in Dec, he came in under budget at $7,400 which will be accrued for Dec.  

12/5/22 Variance -$9k.  Accrual $9k.  Tool Vendor's remaining cost.  December forecast to remove and pack traps.
11/1/22 Variance ($3,790) trailing costs
10/3/22 Re-Accruing tool and contractor cost


9/1/22 Variance (-) over forecasted.  Tool run complete, and accruing 75% of ILI Vendor's cost along with Degen tracking costs.  Nov forecast is remaining 25% of ILI Vendor cost.  Project underbudget.


8/2/22 Variance (+) Accrual for trap modifications.
7/5/22 no change
6/2/22 No change


4/2/22 Tool scheduled to run in August.",2/2/2023,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,Toledo,DS999A1 - TOLEDO TO NORCO 8IN REVERSAL,,1994,,,,55188,,"Bartal, Nick","Bartal, Nick",,,1,40663,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
2022 - DT718CO - ILI,Item,Open,MEXP,DT718DME2201,Exempt,"1945829, 1939970","Burns, Richard",West,6. Operational,Defined,Assessments,4504,58063,,62566.58,62567,0,Green,,,,62567,,,304541,,,304541,Full,304541,242346,58063,300409,No,Green,7/1/2022,1/4/2022,1/4/2022,12/31/2022,1/31/2023,,,4503.58,0,,,0,Green,0,,58063,,,,,,,,,,,"3/1/23 - variance re-accrued.  (Rosen invoice).
2/1/23 - variance accrued; Rosen invoice came in less than the 75% expected because of $63K of extra reporting requested that will be billed with the final invoice.  Rest is from TDW pig sig parts that were backordered ($3194) and P-card charges ($1393).
1/3/23 - Most of variance is accrued for Rosen invoice. Overage is P-card charges more than expected.
12/2/22 - Variance is P-card purchases (D. Farster); ILI run scheduled for 12/6/22, CO to DT.
11/1/22 - Variance is from ILI run not completed due to vendor tool issues and product issues.  No set date for rescheduling run but appears it may push to December. Forecasted accordingly.
9/28/22 - variance is because run pushed to week of 10/24/22 due to ILI vendor having tool issues and our scheduling concerns due to Toledo refinery fire. Adjusted forecast accordingly.
9/1/22 - COGNOS report shows $3441 in P-card charges for  ILI prep work, but nothing here.
 8/31/22 - on track for 9/27 run data.  XYZ surveying almost complete.
8/1/22 - variance is p-card purchase (trailer rental for side-by-side for setting AGMs).
7/1/22 - same     6/1/22 - same.
5/2/22 - same
4/20/22 - changed job book required to ""no"" as they are not required for ILI runs.
4/2/22 - scheduled for September.
2/28/22 - added the WO I created.
2/2/22 - GEO+AMFL+XYZ ILI scheduled for 9/13/22.",3/1/2023,2/2/22 - pushed a1/4 of ILI tool cost out 3 months beyond run date.,"Griest, Barbara",,West,Pipelines and Terminals,Pipeline Integrity,,Duncansville,DT718DM - DUNCANSVILLE STA-DELMONT,,62567,,,,237842,,"Bartal, Nick","Bartal, Nick",,,1,40664,,"Administrator, System",JDE Child,Burnt Orange,7/24/2021,Int - Assessments
2022 - EC999B2 - Pressure Test,Item,Open,MEXP,EC999B2E2201,Maintenance Framework,1945832,"Lloyd, Andrew",West,7. Closed,Defined,Assessments,374,,,373.54,374,0,Green,,,,374,,,69300,,,69300,Full,69300,52544,,52544,No,Green,6/1/2022,1/4/2022,1/4/2022,12/31/2022,6/3/2022,,,373.54,,,,,,0,,,,,,,,,,,,,"12/19/22 - PO and WO closed - ready to be closed by accounting.


11/16 variance is due to savings, project completed 6/3


10/1 savings from AFE. 


9/1 project complete variance is project savings. 


8/1 project complete variance is project savings. 


7/1 project complete


6/17/22 - signed hydrotest document package handed off to Beth.

6/1 kickoff call held, contractor performing work to fill line and complete hydrotest


5/2 completed field walkdown and awaiting bid. 


4/6 no change, will walk down to verify draft hydrotest plan


3/1/22 on track writing hydro procedure to bid out


2/8/22 - just assigned project - working on gathering procedures to bid out.",12/19/2022,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,E. Chicago Terminals,EC999B2 - BET TO EAST CHICAGO STATION,,374,,,,52170,,"Bartal, Nick","Bartal, Nick",,,1,40667,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
2022 - EG999B1 - ILI,Item,Open,MEXP,EG999B1E2201,Maintenance Framework,1945834,"Lloyd, Andrew",West,6. Operational,Defined,Assessments,157266,8152,,165418.39,165418,0,Green,8152,,8152,157266,,,53185,,,53185,Full,53185,282967,8152,291119,No,Green,9/1/2022,1/4/2022,1/4/2022,12/31/2022,1/13/2023,,,152387.71,4878.68,,,4879,Red,0,Buckeye/Customer Schedule,,8152,,,,,,,,,,"2/28/2023 variance is due to BP scheduling. Job book submitted, project is complete pending final invoice from Enduro. 


2/9/2023 job book documents in sharepoint, awaiting visual pipe inspection form before completing package for shipment to PA. 


1/31/2023 variance is due to BP scheduling. Lessons learned meeting completed and future execution plan added to sharepoint. Job book documents in process of submission. 1/13/23 smart tool trapped at Buckeye. 1/2/2023 Variance is due to BP schedule. BP advises suboptimal flow for revised planned date of tool run. Rescheduled all contractors and coordinated with operations/BP for 1/11/23 launch. 12/28 BP scheduler has advised that flow rate potentially may not support planned 1/4/23 run date. Contingency plan is to utilize 1/11/23 as run date in advance of assessment deadline. 12/7/22 variance is due to schedule. BP cannot provide the flow needed for this tool run to occur on 12/14. They have had their gas oil hydrotreater go down last night and tentatively it will not startup to 12/20. We are targeting 1/4/23 for smart tool run with contingency timing being 1/11/23. 11/29 variance is due to schedule. Tool run delayed until 12/14 if flow available from BP. 11/16 traps hung on both sides of canal. BP confirming flow rates for tool run.  11/14 tool run will be rescheduled as flow rates provided by BP are insufficient for a successful tool run. 11/1 variance is due to material delays. Project on track for execution. Walk down scheduled with BP10/3 contractor taking initial measurements 10/5 to be ready for 11/17 install. Discussion with BP to occur on recurring basis until project execution.  9/28 PO issued to contactor, contracting pulling measurements 10/59/2 there are no existing temp. traps to run this tool. Led Roberts, Midwestern, and Manhattan with Cuddy to obtain pricing. FCST reflects cost to build traps. 8/30 field walk scheduled. Traps may be needed for this work. 8/1 PO issued to Expro to provide flare. 7/1 field walk of BP side reveals no obstructions, operations has traps. 6/1 anticipate requiring additional funding for this project due to flare needs, mechanical assistance within BP, and temporary traps. 5/2 obtained quote from Expro for flare services and are booked4/6 on track3/1/2022 propylene tool run on track",2/28/2023,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,E. Chicago Terminals,EG - EAST CHICAGO STA (NORCO),,157266,8152,,,125700,,"Bartal, Nick","Bartal, Nick",,,1,40669,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
2022 - EH999A3 - Pressure Test and Go/No-Go ILI,Item,Open,MEXP,EH999A3E2201,Maintenance Framework,1945837,"Lloyd, Andrew",West,6. Operational,Defined,Assessments,15355,,,15354.6,15355,0,Green,,,,15355,,,117150,,,117150,Full,117150,132076,,132076,No,Green,9/1/2022,1/4/2022,1/4/2022,12/31/2022,9/14/2022,,,-0.4,15355,,,15355,Red,0,,,,,,,,,,,,,"1/2/2023 variance is due to savings. Project completed in September. 


12/2 variance is due to timing of invoicing. 


11/16 project complete, have reached out to tool vendor for confirmation on report delivery. 


10/1 anticipate savings from AFE estimate. Water haul off in process with environmental. Final painting and backfill to conclude mid october. 


9/14 hydro complete


9/1 SSSP in for review by safety. Additional walkdown with inspector and contractor and operations has occurred. 


8/1 PO issued to shultz for completion of this work. Requests for quotes to other vendors requested. 


7/1 field walk with operations completed, shultz anticipated to perform work. 




6/1 requested facility P&IDs to modify execution plan for pretzel. 


5/2 targeting May/June field walk down


4/6 on track, reviewed with OM  


3/1/22 On track writing procedures to have bid event


2/8/22 - just assigned project - working on gathering procedures to bid out.",1/2/2023,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,E. Chicago Terminals,EH999A3 - Hammond Main Property to TL Explorer,,15355,,,,116721,,"Bartal, Nick","Bartal, Nick",,,1,40673,,"Administrator, System",JDE Child,Burnt Orange,7/24/2021,Int - Assessments
2022 - EN913EW - Pressure Test and Go/No-Go ILI,Item,Open,MEXP,EN913EWE2201,Maintenance Framework,1957360,"Garcia, Francisco",ECS Pipeline Integrity,6. Operational,Defined,Assessments,1745,,,1744.96,1745,0,Green,,,,1745,,,136000,,,136000,Full,136000,82457,,82457,No,Green,9/1/2022,3/28/2022,3/28/2022,11/30/2022,2/1/2022,,,1744.96,,,,,,0,,,,,,,,,,,,,10/4/2022 - Buckeye emergency delayed project.  09-12-22 Will conduct pressure test but not the Go no go portion of the project,10/4/2022,2/7/22 - No change at this time.,"Walker, Carol",,East,Pipelines and Terminals,Pipeline Integrity,,Jet Lines,EW913RW - NEW HAVEN TO MIDDLETOWN JCT,,1745,,,,80712,,"Bartal, Nick",,,,1,40623,,"Administrator, System",Independent,Aqua,7/23/2021,Int - Assessments
2022 - EU999A2 - Pressure Test,Item,Open,MEXP,EU999A2E2201,Maintenance Framework,1945838,"Lloyd, Andrew",West,7. Closed,Defined,Assessments,0,,,0.04,0,0,Green,,,,0,,,84000,,,84000,Full,84000,92662,,92662,No,Green,8/1/2022,1/4/2022,1/4/2022,12/31/2022,11/16/2022,,,0.04,,,,,,0,,,,,,,,,,,,,"3/10/2023 project complete and ready to be closed by accounting. 


1/2/2023 awaiting submittal of contractor invoice for glycol due to weather. 


12/20/22 variance is due to weather. Waste management invoice received for WDR. 


12/6/22 variance is due to weather. Glycol cost anticipated for this work. 


11/17 hydrotesting completed, update note sent to integrity, status changed to operational. Waiting on profile from Karen for GFL haul off of glycol. 


11/16 contractor is hydrotesting today. 


11/14 contractor has mobilized. Additional costs for glycol anticipated. 


11/1 project on track for November execution 


10/3 project on track for November execution.


9/1 project remains on track for execution in November. 


8/1 PO issued to shultz to perform the hydrotest work. Waiting on vendors to provide quotes for other items. 


7/1 scheduled field walk with local asset team for 7/8.


6/1 June field walk to be scheduled


5/2 targeting May/June field walk down


4/6 on track, reviewed with OM


 3/1 writing hydrotest procedures for bid event 


2/8/22 - just assigned project - working on gathering procedures to bid out.",3/10/2023,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,E. Chicago Terminals,EU999A2 - E Chicago B/G to E Chicago Citgo,,0,,,,92662,,"Bartal, Nick","Bartal, Nick",,,1,40677,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
2022 - FG999B1 - Pressure Test,Item,Open,MEXP,FG999B1E2201,Maintenance Framework,1945839,"Lloyd, Andrew",West,7. Closed,Defined,Assessments,11,,,10.95,11,0,Green,,,,11,,,73500,,,73500,Full,73500,66417,,66417,No,Green,10/1/2022,1/4/2022,1/4/2022,12/31/2022,10/12/2022,,,10.95,,,,,,0,,,,,,,,,,,,,"3/10/2023 project is complete and ready to be closed by accounting. 


11/2 variance is due to savings from AFE estimate. Project mechanically complete. 


10/3 project on track for pressure test


9/1 outage confirmed with third party. 


8/1 PO issued to shultz to perform the hydrotest work. Waiting on vendors to provide quotes for other items. 


7/1 field walk completed with operations. 


6/1 discussed project with Shultz for execution of this project. 


5/2 targeting May/June field walk down


4/6 on track, reviewed with OM  


3/1/22 writing hydrotest procedures for bid event


2/8/22 - just assigned project - working on gathering procedures to bid out.",3/10/2023,2/7/22 - No change,"Hill, Elizabeth",,West,Pipelines and Terminals,Pipeline Integrity,,Michiana,FG999B1 - Wolverine Gas to BETFG,,11,,,,66406,,"Bartal, Nick","Bartal, Nick",,,1,40679,,"Administrator, System",JDE Child,Burnt Orange,7/23/2021,Int - Assessments
